MNS.PNA036_1.Zdv036_1_1.ZDV.ObjNum,1,UInt4,9
MNS.PNA036_1.Zdv036_1_1.ZDV.ObjNum,101,String,"1"
MNS.PNA036_1.Zdv036_1_1.ZDV.ObjNum,3,UInt4,192
MNS.PNA036_1.Zdv036_1_1.ZDV.Pos,1,UInt4,9
MNS.PNA036_1.Zdv036_1_1.ZDV.Pos,101,String,"Положение задвижки"
MNS.PNA036_1.Zdv036_1_1.ZDV.Pos,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(7665) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TM2) Signed=(True) Category=()}"
MNS.PNA036_1.Zdv036_1_1.ZDV.Pos,5100,Double,0
MNS.PNA036_1.Zdv036_1_1.ZDV.Pos,5102,Double,1000
MNS.PNA036_1.Zdv036_1_1.ZDV.Pos,5103,Double,0
MNS.PNA036_1.Zdv036_1_1.ZDV.Pos,5105,Double,100
MNS.PNA036_1.Zdv036_1_1.ZDV.Pos,100,String,%
MNS.PNA036_1.Zdv036_1_1.ZDV.Channels,1,UInt4,9
MNS.PNA036_1.Zdv036_1_1.ZDV.Channels,101,String,"DG.USO2_2.A1.M1:14:15:12:13:16:17, DG.USO2_2.A1.M2:6:7:8:9, DG.USO2_1.A1.M7:16"
MNS.PNA036_1.Zdv036_1_1.ZDV.Channels,3,UInt4,192
MNS.PNA036_1.Zdv036_1_1.ZDV.Ust.Set2,1,UInt4,9
MNS.PNA036_1.Zdv036_1_1.ZDV.Ust.Set2,101,String,"Время хода вала задвижки"
MNS.PNA036_1.Zdv036_1_1.ZDV.Ust.Set2,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(9938) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TM2) Signed=(True) Category=()}"
WR_MNS.PNA036_1.Zdv036_1_1.ZDV.Ust.Set2,1,UInt4,9
WR_MNS.PNA036_1.Zdv036_1_1.ZDV.Ust.Set2,101,String,"Время хода вала задвижки"
WR_MNS.PNA036_1.Zdv036_1_1.ZDV.Ust.Set2,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(9938) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TR2) Signed=(True) Category=()}"
MNS.PNA036_1.Zdv036_1_1.ZDV.RSDiag1,1,UInt4,9
MNS.PNA036_1.Zdv036_1_1.ZDV.RSDiag1,101,String,"Диагностический регистр по интерфейсу (регистр 1)"
MNS.PNA036_1.Zdv036_1_1.ZDV.RSDiag1,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(38600) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TM2) Signed=(True) Category=()}"
WR_MNS.PNA036_1.Zdv036_1_1.ZDV.RSDiag1,1,UInt4,9
WR_MNS.PNA036_1.Zdv036_1_1.ZDV.RSDiag1,101,String,"Диагностический регистр по интерфейсу (регистр 1)"
WR_MNS.PNA036_1.Zdv036_1_1.ZDV.RSDiag1,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(38600) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TR2) Signed=(True) Category=()}"
MNS.PNA036_1.Zdv036_1_1.ZDV.RSDiag2,1,UInt4,9
MNS.PNA036_1.Zdv036_1_1.ZDV.RSDiag2,101,String,"Диагностический регистр по интерфейсу (регистр 2)"
MNS.PNA036_1.Zdv036_1_1.ZDV.RSDiag2,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(38601) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TM2) Signed=(True) Category=()}"
WR_MNS.PNA036_1.Zdv036_1_1.ZDV.RSDiag2,1,UInt4,9
WR_MNS.PNA036_1.Zdv036_1_1.ZDV.RSDiag2,101,String,"Диагностический регистр по интерфейсу (регистр 2)"
