;
; LinkTag
;
Record Type,Name,Description,Enabled,Input Tag,Output Tag,Dead Value,Link Mode,Link Rate,Trigger Tag,Comparison,Value,Trigger Type,Trigger Scan Rate
"Link Tag","MNS-2-KC-A8.ObjName","МНС-2.КЦ. Коммутатор ВУ (осн.) А8","1","SNMP.MNS-2-KC-A8.ObjName","Diag.SNMP.MNS-2-KC-A8.ObjName","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Status","Доступность устройства","1","SNMP.MNS-2-KC-A8._System._NoError","Diag.SNMP.MNS-2-KC-A8.Status","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifAdminStatus-01","МНС-2.КЦ. КЦ основной А1.2/2","1","SNMP.MNS-2-KC-A8.Ports.ifAdminStatus-01","Diag.SNMP.MNS-2-KC-A8.Ports.ifAdminStatus-01","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifAdminStatus-02","МНС-2.КЦ. КК основной А3.1/2","1","SNMP.MNS-2-KC-A8.Ports.ifAdminStatus-02","Diag.SNMP.MNS-2-KC-A8.Ports.ifAdminStatus-02","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifAdminStatus-03","МНС-2.КЦ. КЦ резервный А2.2/2","1","SNMP.MNS-2-KC-A8.Ports.ifAdminStatus-03","Diag.SNMP.MNS-2-KC-A8.Ports.ifAdminStatus-03","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifAdminStatus-04","МНС-2.САР Коммутатор ВУ (осн.) А8/2","1","SNMP.MNS-2-KC-A8.Ports.ifAdminStatus-04","Diag.SNMP.MNS-2-KC-A8.Ports.ifAdminStatus-04","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifAdminStatus-05","МНС-2.КЦ АРМ оператора МНС-2 (рез.) А7/1","1","SNMP.MNS-2-KC-A8.Ports.ifAdminStatus-05","Diag.SNMP.MNS-2-KC-A8.Ports.ifAdminStatus-05","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifAdminStatus-06","резерв","1","SNMP.MNS-2-KC-A8.Ports.ifAdminStatus-06","Diag.SNMP.MNS-2-KC-A8.Ports.ifAdminStatus-06","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifAdminStatus-07","резерв","1","SNMP.MNS-2-KC-A8.Ports.ifAdminStatus-07","Diag.SNMP.MNS-2-KC-A8.Ports.ifAdminStatus-07","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
"Link Tag","MNS-2-KC-A8.Ports.ifAdminStatus-08","резерв","1","SNMP.MNS-2-KC-A8.Ports.ifAdminStatus-08","Diag.SNMP.MNS-2-KC-A8.Ports.ifAdminStatus-08","","On Data Change of Input Tag","1000","","Trigger Tag == Value","0","Always","1000"
