Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"MNS-2-KC-A8.ObjName","400001","Long","","R/W","99999990","","","","","","","","","","МНС-2.КЦ. Коммутатор ВУ (осн.) А8",""
"MNS-2-KC-A8.Status","400533","DWord","","R/W","1000","","","","","","","","","","Доступность устройства",""
"MNS-2-KC-A8.Ports.ifAdminStatus-01","400001","Long","","R/W","1000","","","","","","","","","","МНС-2.КЦ. КЦ основной А1.2/2",""
"MNS-2-KC-A8.Ports.ifAdminStatus-02","400005","Long","","R/W","1000","","","","","","","","","","МНС-2.КЦ. КК основной А3.1/2",""
"MNS-2-KC-A8.Ports.ifAdminStatus-03","400009","Long","","R/W","1000","","","","","","","","","","МНС-2.КЦ. КЦ резервный А2.2/2",""
"MNS-2-KC-A8.Ports.ifAdminStatus-04","400013","Long","","R/W","1000","","","","","","","","","","МНС-2.САР Коммутатор ВУ (осн.) А8/2",""
"MNS-2-KC-A8.Ports.ifAdminStatus-05","400017","Long","","R/W","1000","","","","","","","","","","МНС-2.КЦ АРМ оператора МНС-2 (рез.) А7/1",""
"MNS-2-KC-A8.Ports.ifAdminStatus-06","400021","Long","","R/W","1000","","","","","","","","","","резерв",""
"MNS-2-KC-A8.Ports.ifAdminStatus-07","400025","Long","","R/W","1000","","","","","","","","","","резерв",""
"MNS-2-KC-A8.Ports.ifAdminStatus-08","400029","Long","","R/W","1000","","","","","","","","","","резерв",""
"MNS-2-KC-A8.Ports.ifAdminStatus-09","400033","Long","","R/W","1000","","","","","","","","","","МНС-2.ШС Коммутатор L3 (рез.)",""
"MNS-2-KC-A8.Ports.ifAdminStatus-10","400037","Long","","R/W","1000","","","","","","","","","","резерв",""
"MNS-2-KC-A8.Ports.ifInErrors-01","400129","DWord","","R/W","1000","","","","","","","","","","МНС-2.КЦ. КЦ основной А1.2/2",""
"MNS-2-KC-A8.Ports.ifInErrors-02","400133","DWord","","R/W","1000","","","","","","","","","","МНС-2.КЦ. КК основной А3.1/2",""
"MNS-2-KC-A8.Ports.ifInErrors-03","400137","DWord","","R/W","1000","","","","","","","","","","МНС-2.КЦ. КЦ резервный А2.2/2",""
"MNS-2-KC-A8.Ports.ifInErrors-04","400141","DWord","","R/W","1000","","","","","","","","","","МНС-2.САР Коммутатор ВУ (осн.) А8/2",""
"MNS-2-KC-A8.Ports.ifInErrors-05","400145","DWord","","R/W","1000","","","","","","","","","","МНС-2.КЦ АРМ оператора МНС-2 (рез.) А7/1",""
"MNS-2-KC-A8.Ports.ifInErrors-06","400149","DWord","","R/W","1000","","","","","","","","","","резерв",""
"MNS-2-KC-A8.Ports.ifInErrors-07","400153","DWord","","R/W","1000","","","","","","","","","","резерв",""
"MNS-2-KC-A8.Ports.ifInErrors-08","400157","DWord","","R/W","1000","","","","","","","","","","резерв",""
"MNS-2-KC-A8.Ports.ifInErrors-09","400161","DWord","","R/W","1000","","","","","","","","","","МНС-2.ШС Коммутатор L3 (рез.)",""
"MNS-2-KC-A8.Ports.ifInErrors-10","400165","DWord","","R/W","1000","","","","","","","","","","резерв",""
"MNS-2-KC-A8.Ports.ifInOctets-01","400257","DWord","","R/W","1000","","","","","","","","","","МНС-2.КЦ. КЦ основной А1.2/2",""
"MNS-2-KC-A8.Ports.ifInOctets-02","400261","DWord","","R/W","1000","","","","","","","","","","МНС-2.КЦ. КК основной А3.1/2",""
"MNS-2-KC-A8.Ports.ifInOctets-03","400265","DWord","","R/W","1000","","","","","","","","","","МНС-2.КЦ. КЦ резервный А2.2/2",""
"MNS-2-KC-A8.Ports.ifInOctets-04","400269","DWord","","R/W","1000","","","","","","","","","","МНС-2.САР Коммутатор ВУ (осн.) А8/2",""
