Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"ObjName","1.2.1","Long","","RO","99999990","","","","","","","","","","МНС-2.КЦ. Коммутатор ВУ (рез.) А9",""
"Ports.ifAdminStatus-01","1.3.6.1.2.1.2.2.1.7.10001","Long","","RO","1000","","","","","","","","","","МНС-2.КЦ. КЦ основной А1.3/2",""
"Ports.ifAdminStatus-02","1.3.6.1.2.1.2.2.1.7.10002","Long","","RO","1000","","","","","","","","","","МНС-2.КЦ. КК резервный А4.1/2",""
"Ports.ifAdminStatus-03","1.3.6.1.2.1.2.2.1.7.10003","Long","","RO","1000","","","","","","","","","","МНС-2.КЦ. КЦ резервный А2.3/2",""
"Ports.ifAdminStatus-04","1.3.6.1.2.1.2.2.1.7.10004","Long","","RO","1000","","","","","","","","","","МНС-2.САР Коммутатор ВУ (рез.) А9/2",""
"Ports.ifAdminStatus-05","1.3.6.1.2.1.2.2.1.7.10005","Long","","RO","1000","","","","","","","","","","МНС-2.КЦ АРМ оператора МНС-2 (рез.) А7/2",""
"Ports.ifAdminStatus-06","1.3.6.1.2.1.2.2.1.7.10006","Long","","RO","1000","","","","","","","","","","резерв",""
"Ports.ifAdminStatus-07","1.3.6.1.2.1.2.2.1.7.10007","Long","","RO","1000","","","","","","","","","","резерв",""
"Ports.ifAdminStatus-08","1.3.6.1.2.1.2.2.1.7.10008","Long","","RO","1000","","","","","","","","","","резерв",""
"Ports.ifAdminStatus-09","1.3.6.1.2.1.2.2.1.7.10101","Long","","RO","1000","","","","","","","","","","МНС-2.ШС Коммутатор L3 (рез.)",""
"Ports.ifAdminStatus-10","1.3.6.1.2.1.2.2.1.7.10102","Long","","RO","1000","","","","","","","","","","резерв",""
"Ports.ifInErrors-01","1.3.6.1.2.1.2.2.1.14.10001","DWord","","RO","1000","","","","","","","","","","МНС-2.КЦ. КЦ основной А1.3/2",""
"Ports.ifInErrors-02","1.3.6.1.2.1.2.2.1.14.10002","DWord","","RO","1000","","","","","","","","","","МНС-2.КЦ. КК резервный А4.1/2",""
"Ports.ifInErrors-03","1.3.6.1.2.1.2.2.1.14.10003","DWord","","RO","1000","","","","","","","","","","МНС-2.КЦ. КЦ резервный А2.3/2",""
"Ports.ifInErrors-04","1.3.6.1.2.1.2.2.1.14.10004","DWord","","RO","1000","","","","","","","","","","МНС-2.САР Коммутатор ВУ (рез.) А9/2",""
"Ports.ifInErrors-05","1.3.6.1.2.1.2.2.1.14.10005","DWord","","RO","1000","","","","","","","","","","МНС-2.КЦ АРМ оператора МНС-2 (рез.) А7/2",""
"Ports.ifInErrors-06","1.3.6.1.2.1.2.2.1.14.10006","DWord","","RO","1000","","","","","","","","","","резерв",""
"Ports.ifInErrors-07","1.3.6.1.2.1.2.2.1.14.10007","DWord","","RO","1000","","","","","","","","","","резерв",""
"Ports.ifInErrors-08","1.3.6.1.2.1.2.2.1.14.10008","DWord","","RO","1000","","","","","","","","","","резерв",""
"Ports.ifInErrors-09","1.3.6.1.2.1.2.2.1.14.10101","DWord","","RO","1000","","","","","","","","","","МНС-2.ШС Коммутатор L3 (рез.)",""
"Ports.ifInErrors-10","1.3.6.1.2.1.2.2.1.14.10102","DWord","","RO","1000","","","","","","","","","","резерв",""
"Ports.ifInOctets-01","1.3.6.1.2.1.2.2.1.10.10001","DWord","","RO","1000","","","","","","","","","","МНС-2.КЦ. КЦ основной А1.3/2",""
"Ports.ifInOctets-02","1.3.6.1.2.1.2.2.1.10.10002","DWord","","RO","1000","","","","","","","","","","МНС-2.КЦ. КК резервный А4.1/2",""
"Ports.ifInOctets-03","1.3.6.1.2.1.2.2.1.10.10003","DWord","","RO","1000","","","","","","","","","","МНС-2.КЦ. КЦ резервный А2.3/2",""
"Ports.ifInOctets-04","1.3.6.1.2.1.2.2.1.10.10004","DWord","","RO","1000","","","","","","","","","","МНС-2.САР Коммутатор ВУ (рез.) А9/2",""
"Ports.ifInOctets-05","1.3.6.1.2.1.2.2.1.10.10005","DWord","","RO","1000","","","","","","","","","","МНС-2.КЦ АРМ оператора МНС-2 (рез.) А7/2",""
"Ports.ifInOctets-06","1.3.6.1.2.1.2.2.1.10.10006","DWord","","RO","1000","","","","","","","","","","резерв",""
