Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"ObjName","1.2.1","Long","","RO","99999990","","","","","","","","","","Шкаф серверный. Маршрутизатор с МСЭ (осн.) A3. ",""
"Ports.ifAdminStatus-17","1.3.6.1.2.1.2.2.1.7.2","Long","","RO","1000","","","","","","","","","","Сеть ПД ОАО "СТН" основной канал",""
"Ports.ifAdminStatus-18","1.3.6.1.2.1.2.2.1.7.3","Long","","RO","1000","","","","","","","","","","Сеть ККС",""
"Ports.ifAdminStatus-19","1.3.6.1.2.1.2.2.1.7.4","Long","","RO","1000","","","","","","","","","","резерв",""
"Ports.ifInErrors-17","1.3.6.1.2.1.2.2.1.14.2","DWord","","RO","1000","","","","","","","","","","Сеть ПД ОАО "СТН" основной канал",""
"Ports.ifInErrors-18","1.3.6.1.2.1.2.2.1.14.3","DWord","","RO","1000","","","","","","","","","","Сеть ККС",""
"Ports.ifInErrors-19","1.3.6.1.2.1.2.2.1.14.4","DWord","","RO","1000","","","","","","","","","","резерв",""
"Ports.ifInOctets-17","1.3.6.1.2.1.2.2.1.10.2","DWord","","RO","1000","","","","","","","","","","Сеть ПД ОАО "СТН" основной канал",""
"Ports.ifInOctets-18","1.3.6.1.2.1.2.2.1.10.3","DWord","","RO","1000","","","","","","","","","","Сеть ККС",""
"Ports.ifInOctets-19","1.3.6.1.2.1.2.2.1.10.4","DWord","","RO","1000","","","","","","","","","","резерв",""
"Ports.ifOperStatus-17","1.3.6.1.2.1.2.2.1.8.2","Long","","RO","1000","","","","","","","","","","Сеть ПД ОАО "СТН" основной канал",""
"Ports.ifOperStatus-18","1.3.6.1.2.1.2.2.1.8.3","Long","","RO","1000","","","","","","","","","","Сеть ККС",""
"Ports.ifOperStatus-19","1.3.6.1.2.1.2.2.1.8.4","Long","","RO","1000","","","","","","","","","","резерв",""
"State.CPULoad","1.3.6.1.4.1.9.2.1.56.0","Word","","RO","2000","","","","","","","","","","Загрузка CPU",""
"State.CPUTemp","1.3.6.1.4.1.9.9.13.1.3.1.3.1","DWord","","RO","2000","","","","","","","","","","Температура процессора",""
"State.PowerState1","1.3.6.1.4.1.9.9.13.1.5.1.3.1","Long","","RO","2000","","","","","","","","","","Состояние ввода питания №1",""
"State.PowerState2","1.3.6.1.4.1.9.9.13.1.5.1.3.2","Long","","RO","2000","","","","","","","","","","Состояние ввода питания №2",""
"State.FanStatus1","1.3.6.1.4.1.9.9.13.1.4.1.3.2","Long","","RO","2000","","","","","","","","","","Состояние вентилятора №1",""
"State.FanStatus2","1.3.6.1.4.1.9.9.13.1.4.1.3.3","Long","","RO","2000","","","","","","","","","","Состояние вентилятора №2",""
"State.FanStatus3","1.3.6.1.4.1.9.9.13.1.4.1.3.4","Long","","RO","2000","","","","","","","","","","Состояние вентилятора №3",""
"State.FanStatus4","1.3.6.1.4.1.9.9.13.1.4.1.3.5","Long","","RO","2000","","","","","","","","","","Состояние вентилятора №4",""
"State.FanStatus5","1.3.6.1.4.1.9.9.13.1.4.1.3.6","Long","","RO","2000","","","","","","","","","","Состояние вентилятора №5",""
"Property.FW","1.3.6.1.2.1.16.19.2.0","String","","RO","2000","","","","","","","","","","Версия прошивки",""
"Property.IP",".1.3.6.1.2.1.4.20.1.1.172.16.0.2","String","","RO","2000","","","","","","","","","","IP адресс",""
"Property.Mask",".1.3.6.1.2.1.4.20.1.3.172.16.0.2","String","","RO","2000","","","","","","","","","","Маска",""
"Property.Name","1.3.6.1.2.1.47.1.1.1.1.7.1","String","","RO","2000","","","","","","","","","","Наименование устройства",""
"Property.sysUpTime","1.3.6.1.2.1.1.3.0","Long","","RO","2000","","","","","","","","","","Время работы",""
