Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"ObjName","1.2.1","Long","","RO","99999990","","","","","","","","","","Шкаф серверный. Маршрутизатор с МСЭ (рез.) A4. Расширение на 16 портов",""
"Ports.ifAdminStatus-01","1.3.6.1.2.1.2.2.1.7.10101","Long","","RO","1000","","","","","","","","","","ШС. Коммутатор L3 (рез.) A6/1",""
"Ports.ifAdminStatus-02","1.3.6.1.2.1.2.2.1.7.10102","Long","","RO","1000","","","","","","","","","","резерв",""
"Ports.ifAdminStatus-03","1.3.6.1.2.1.2.2.1.7.10103","Long","","RO","1000","","","","","","","","","","ШС. Сервер ДМЗ АА1/2",""
"Ports.ifAdminStatus-04","1.3.6.1.2.1.2.2.1.7.10104","Long","","RO","1000","","","","","","","","","","МНС-2.КЦ. КК СТМ (рез.) А6.04",""
"Ports.ifAdminStatus-05","1.3.6.1.2.1.2.2.1.7.10105","Long","","RO","1000","","","","","","","","","","АСТУЭ резервный канал",""
"Ports.ifAdminStatus-06","1.3.6.1.2.1.2.2.1.7.10106","Long","","RO","1000","","","","","","","","","","АРМ ККС резервный канал",""
"Ports.ifAdminStatus-07","1.3.6.1.2.1.2.2.1.7.10107","Long","","RO","1000","","","","","","","","","","резерв",""
"Ports.ifAdminStatus-08","1.3.6.1.2.1.2.2.1.7.10108","Long","","RO","1000","","","","","","","","","","резерв",""
"Ports.ifAdminStatus-09","1.3.6.1.2.1.2.2.1.7.10109","Long","","RO","1000","","","","","","","","","","резерв",""
"Ports.ifAdminStatus-10","1.3.6.1.2.1.2.2.1.7.10110","Long","","RO","1000","","","","","","","","","","резерв",""
"Ports.ifAdminStatus-11","1.3.6.1.2.1.2.2.1.7.10111","Long","","RO","1000","","","","","","","","","","резерв",""
"Ports.ifAdminStatus-12","1.3.6.1.2.1.2.2.1.7.10112","Long","","RO","1000","","","","","","","","","","резерв",""
"Ports.ifAdminStatus-13","1.3.6.1.2.1.2.2.1.7.10113","Long","","RO","1000","","","","","","","","","","резерв",""
