Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"ObjName","1.2.1","Long","","RO","99999990","","","","","","","","","","Шкаф серверный. Сервер точного времени AA2",""
"Ports.ifInOctets-01","1.3.6.1.2.1.2.2.1.10.3","DWord","","RO","1000","","","","","","","","","","ШС. Коммутатор L3 (осн.) A5/23",""
"Ports.ifInOctets-02","1.3.6.1.2.1.2.2.1.10.4","DWord","","RO","1000","","","","","","","","","","ШС. Коммутатор L3 (рез.) A6/23",""
"Ports.ifInOctets-03","1.3.6.1.2.1.2.2.1.10.1","DWord","","RO","1000","","","","","","","","","","Резерв",""
"Ports.ifInOctets-04","1.3.6.1.2.1.2.2.1.10.1","DWord","","RO","1000","","","","","","","","","","Резерв",""
"Ports.ifOperStatus-01","1.3.6.1.2.1.2.2.1.8.3","Long","","RO","1000","","","","","","","","","","ШС. Коммутатор L3 (осн.) A5/23",""
"Ports.ifOperStatus-02","1.3.6.1.2.1.2.2.1.8.4","Long","","RO","1000","","","","","","","","","","ШС. Коммутатор L3 (рез.) A6/23",""
"Ports.ifOperStatus-03","1.3.6.1.2.1.2.2.1.8.1","Long","","RO","1000","","","","","","","","","","Резерв",""
"Ports.ifOperStatus-04","1.3.6.1.2.1.2.2.1.8.1","Long","","RO","1000","","","","","","","","","","Резерв",""
"Ports.ipAdEntNetMask-01",".1.3.6.1.2.1.4.20.1.3.172.16.0.6","String","","RO","1000","","","","","","","","","","ШС. Коммутатор L3 (осн.) A5/23",""
"Ports.ipAdEntNetMask-02",".1.3.6.1.2.1.4.20.1.3.172.16.1.6","String","","RO","1000","","","","","","","","","","ШС. Коммутатор L3 (рез.) A6/23",""
"Ports.ipAdEntNetMask-03",".1.3.6.1.2.1.4.20.1.3.127.0.0.1","String","","RO","1000","","","","","","","","","","Резерв",""
"Ports.ipAdEntNetMask-04",".1.3.6.1.2.1.4.20.1.3.127.0.0.1","String","","RO","1000","","","","","","","","","","Резерв",""
"Ports.ipAdEntAddr-01",".1.3.6.1.2.1.4.20.1.1.172.16.0.6","String","","RO","1000","","","","","","","","","","ШС. Коммутатор L3 (осн.) A5/23",""
"Ports.ipAdEntAddr-02",".1.3.6.1.2.1.4.20.1.1.172.16.1.6","String","","RO","1000","","","","","","","","","","ШС. Коммутатор L3 (рез.) A6/23",""
"Ports.ipAdEntAddr-03",".1.3.6.1.2.1.4.20.1.1.127.0.0.1","String","","RO","1000","","","","","","","","","","Резерв",""
"Ports.ipAdEntAddr-04",".1.3.6.1.2.1.4.20.1.1.127.0.0.1","String","","RO","1000","","","","","","","","","","Резерв",""
"State.NTPStat","1.3.6.1.4.1.5597.30.0.2.1.0","Short","","RO","1000","","","","","","","","","","Статус NTP сервера",""
"State.UTC","1.3.6.1.4.1.2021.100.4.0","String","","RO","1000","","","","","","","","","","UTC время",""
"State.refclockStatus","1.3.6.1.4.1.5597.30.0.1.2.1.6.1","Long","","RO","1000","","","","","","","","","","Используемое число спутников",""
"State.refclockMaxStatus","1.3.6.1.4.1.5597.30.0.1.2.1.7.1","Long","","RO","1000","","","","","","","","","","Количество спутников",""
"State.refclockSubstate","1.3.6.1.4.1.5597.30.0.1.2.1.5.1","Long","","RO","1000","","","","","","","","","","Статус NTP сервера",""
"State.refclockGpsPos","1.3.6.1.4.1.5597.30.0.1.5.0","String","","RO","1000","","","","","","","","","","Координаты GPS",""
"Property.FW","1.3.6.1.4.1.5597.30.0.0.2.0","String","","RO","2000","","","","","","","","","","Версия прошивки",""
"Property.Name","1.3.6.1.2.1.1.1.0","String","","RO","2000","","","","","","","","","","Наименование устройства",""
"Property.sysUpTime","1.3.6.1.2.1.25.1.1.0","Long","","RO","2000","","","","","","","","","","Время работы",""
