MNS.MNS.ObjName,1,UInt4,9
MNS.MNS.ObjName,3,UInt4,192
MNS.MNS.ObjName,101,String,"МНС-1"
MNS.MNS.Sign,1,UInt4,9
MNS.MNS.Sign,3,UInt4,192
MNS.MNS.Sign,101,String,"МНС-1"
MNS.MNS.State,1,UInt4,9
MNS.MNS.State,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34001) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TM2) Signed=(True) Category=()}"
MNS.MNS.State,101,String,"Состояние НС"
MNS.MNS.State.StateNS,1,UInt4,5
MNS.MNS.State.StateNS,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34001) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(1) Category=()}"
MNS.MNS.State.StateNS,101,String,"НС в работе"
MNS.MNS.State.AllAgrOff,1,UInt4,5
MNS.MNS.State.AllAgrOff,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34001) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(2) Category=()}"
MNS.MNS.State.AllAgrOff,101,String,"Все агрегаты НС отключены"
MNS.MNS.State.Zash,1,UInt4,5
MNS.MNS.State.Zash,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34001) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(7) Category=()}"
MNS.MNS.State.Zash,101,String,"Сработала станционная защита"
MNS.MNS.State.GotCSPA,1,UInt4,5
MNS.MNS.State.GotCSPA,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34001) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(8) Category=()}"
MNS.MNS.State.GotCSPA,101,String,"Отсутствие запрета работы от ЦСПА"
MNS.MNS.State.Tmaslo_avar_min,1,UInt4,5
MNS.MNS.State.Tmaslo_avar_min,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34001) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(9) Category=()}"
MNS.MNS.State.Tmaslo_avar_min,101,String,"Аварийная минимальная температура масла маслосистемы"
MNS.MNS.State.Transition_1,1,UInt4,5
MNS.MNS.State.Transition_1,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34001) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(11) Category=()}"
MNS.MNS.State.Transition_1,101,String,"Выполнение штатного перехода"
MNS.MNS.State.PNS_Off_5s_MNA_gotov,1,UInt4,5
MNS.MNS.State.PNS_Off_5s_MNA_gotov,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34001) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(15) Category=()}"
MNS.MNS.State.PNS_Off_5s_MNA_gotov,101,String,"Отключение ПНС с выдержкой времени до 5 с после отключения всех МНА - можно начинать"
MNS.MNS.Mode,1,UInt4,9
MNS.MNS.Mode,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34002) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TM2) Signed=(True) Category=()}"
MNS.MNS.Mode,101,String,"Режим работы НС"
MNS.MNS.Mode.Dst,1,UInt4,5
MNS.MNS.Mode.Dst,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34002) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(2) Category=()}"
MNS.MNS.Mode.Dst,101,String,"Управление НПС телемеханическое"
MNS.MNS.Mode.NonIntervalPodach,1,UInt4,5
MNS.MNS.Mode.NonIntervalPodach,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34002) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(3) Category=()}"
MNS.MNS.Mode.NonIntervalPodach,101,String,"Рабочий интервал подач"
MNS.MNS.Mode.Psl,1,UInt4,5
MNS.MNS.Mode.Psl,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34002) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(4) Category=()}"
MNS.MNS.Mode.Psl,101,String,"Режим последовательной перекачки"
MNS.MNS.Mode.TU_ostanovlen,1,UInt4,5
MNS.MNS.Mode.TU_ostanovlen,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34002) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(13) Category=()}"
MNS.MNS.Mode.TU_ostanovlen,101,String,"Технологический участок остановлен"
MNS.MNS.RCP,1,UInt4,9
MNS.MNS.RCP,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34003) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TM2) Signed=(True) Category=()}"
MNS.MNS.RCP,101,String,"Код текущего управляющего РДП/ТДП"
MNS.MNA11.NA.Imit,1,UInt4,5
MNS.MNA11.NA.Imit,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34005) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(11) Category=()}"
MNS.MNA11.NA.Imit,101,String,"Режим Имитация"
MNS.MNA11.NA.Mode,1,UInt4,9
MNS.MNA11.NA.Mode,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34005) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TM2) Signed=(True) Category=()}"
MNS.MNA11.NA.Mode,101,String,"Режимы НА"
MNS.MNA11.NA.ObjName,1,UInt4,9
MNS.MNA11.NA.ObjName,3,UInt4,192
MNS.MNA11.NA.ObjName,101,String,"МНА №11"
MNS.MNA11.NA.State,1,UInt4,9
MNS.MNA11.NA.State,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34004) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TM2) Signed=(True) Category=()}"
MNS.MNA11.NA.State,101,String,"Состояние НА"
MNS.MNA11.NA.Mode.Imit,1,UInt4,5
MNS.MNA11.NA.Mode.Imit,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34005) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(11) Category=()}"
MNS.MNA11.NA.Mode.Imit,101,String,"Режим Имитация"
MNS.MNA11.NA.Mode.Nenom,1,UInt4,5
MNS.MNA11.NA.Mode.Nenom,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34005) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(12) Category=()}"
MNS.MNA11.NA.Mode.Nenom,101,String,"Вне рабочего интервала подач"
MNS.MNA11.NA.Mode.P1,1,UInt4,5
MNS.MNA11.NA.Mode.P1,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34005) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(4) Category=()}"
MNS.MNA11.NA.Mode.P1,101,String,"Программа пуска 1"
MNS.MNA11.NA.Mode.P2,1,UInt4,5
MNS.MNA11.NA.Mode.P2,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34005) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(5) Category=()}"
MNS.MNA11.NA.Mode.P2,101,String,"Программа пуска 2"
MNS.MNA11.NA.State.AProtect,1,UInt4,5
MNS.MNA11.NA.State.AProtect,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34004) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(7) Category=()}"
MNS.MNA11.NA.State.AProtect,101,String,"Сработала агрегатная защита"
MNS.MNA11.NA.State.CtrlErr,1,UInt4,5
MNS.MNA11.NA.State.CtrlErr,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34004) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(3) Category=()}"
MNS.MNA11.NA.State.CtrlErr,101,String,"Неисправность цепей контроля"
MNS.MNA11.NA.State.DoublChOffErr,1,UInt4,5
MNS.MNA11.NA.State.DoublChOffErr,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34004) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(12) Category=()}"
MNS.MNA11.NA.State.DoublChOffErr,101,String,"Дублирующие цепи отключения неисправны"
MNS.MNA11.NA.State.Hotrez,1,UInt4,5
MNS.MNA11.NA.State.Hotrez,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34004) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(6) Category=()}"
MNS.MNA11.NA.State.Hotrez,101,String,"Агрегат в горячем резерве"
MNS.MNA11.NA.State.NoStatMotor,1,UInt4,5
MNS.MNA11.NA.State.NoStatMotor,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34004) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(4) Category=()}"
MNS.MNA11.NA.State.NoStatMotor,101,String,"Нестационарный режим работы двигателя НА"
MNS.MNA11.NA.State.NoStatPump,1,UInt4,5
MNS.MNA11.NA.State.NoStatPump,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34004) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(5) Category=()}"
MNS.MNA11.NA.State.NoStatPump,101,String,"Нестационарный режим работы двигателя НА"
MNS.MNA11.NA.State.ProgPusk,1,UInt4,5
MNS.MNA11.NA.State.ProgPusk,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34004) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(10) Category=()}"
MNS.MNA11.NA.State.ProgPusk,101,String,"Наличие дополнительного состояния НА «идет программа пуска»"
MNS.MNA11.NA.State.ProgStop,1,UInt4,5
MNS.MNA11.NA.State.ProgStop,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34004) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(11) Category=()}"
MNS.MNA11.NA.State.ProgStop,101,String,"Наличие дополнительного состояния НА «идет программа остановки»"
MNS.MNA11.NA.State.Ready,1,UInt4,5
MNS.MNA11.NA.State.Ready,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34004) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(9) Category=()}"
MNS.MNA11.NA.State.Ready,101,String,"Готов к  пуску"
MNS.MNA11.NA.State.ReadyDist,1,UInt4,5
MNS.MNA11.NA.State.ReadyDist,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34004) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(8) Category=()}"
MNS.MNA11.NA.State.ReadyDist,101,String,"Готов к дистанционному пуску"
MNS.MNA11.NA.State.VVOffErr,1,UInt4,5
MNS.MNA11.NA.State.VVOffErr,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34004) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(14) Category=()}"
MNS.MNA11.NA.State.VVOffErr,101,String,"Цепи отключения неисправны"
MNS.MNA11.NA.State.VVOn,1,UInt4,5
MNS.MNA11.NA.State.VVOn,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34004) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(15) Category=()}"
MNS.MNA11.NA.State.VVOn,101,String,"Вакуумный выключатель включен"
MNS.MNA11.NA.State.VVOnErr,1,UInt4,5
MNS.MNA11.NA.State.VVOnErr,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34004) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(13) Category=()}"
MNS.MNA11.NA.State.VVOnErr,101,String,"Цепи включения неисправны"
MNS.MNA11.NA.MaskGot,1,UInt4,5
MNS.MNA11.NA.MaskGot,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34005) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(8) Category=()}"
MNS.MNA11.NA.MaskGot,101,String,"Есть замаскированная готовность"
MNS.MNA11.NA.MaskZash,1,UInt4,5
MNS.MNA11.NA.MaskZash,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34005) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(9) Category=()}"
MNS.MNA11.NA.MaskZash,101,String,"Есть замаскированная защита"
MNS.MNA11.NA.State.VVV1,1,UInt4,5
MNS.MNA11.NA.State.VVV1,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34005) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(10) Category=()}"
MNS.MNA11.NA.State.VVV1,101,String,"Высоковольтный выключатель включен (основной)"
MNS.MNA11.NA.State.VVV2,1,UInt4,5
MNS.MNA11.NA.State.VVV2,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34005) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(14) Category=()}"
MNS.MNA11.NA.State.VVV2,101,String,"Высоковольтный выключатель включен (дублирующий)"
MNS.MNA11.NA.State.VVO1,1,UInt4,5
MNS.MNA11.NA.State.VVO1,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34005) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(13) Category=()}"
MNS.MNA11.NA.State.VVO1,101,String,"Высоковольтный выключатель отключен (основной)"
MNS.MNA11.NA.State.VVO2,1,UInt4,5
MNS.MNA11.NA.State.VVO2,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34005) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(15) Category=()}"
MNS.MNA11.NA.State.VVO2,101,String,"Высоковольтный выключатель отключен (дублирующий)"
MNS.MNA12.NA.Imit,1,UInt4,5
MNS.MNA12.NA.Imit,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34007) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(11) Category=()}"
MNS.MNA12.NA.Imit,101,String,"Режим Имитация"
MNS.MNA12.NA.Mode,1,UInt4,9
MNS.MNA12.NA.Mode,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34007) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TM2) Signed=(True) Category=()}"
MNS.MNA12.NA.Mode,101,String,"Режимы НА"
MNS.MNA12.NA.ObjName,1,UInt4,9
MNS.MNA12.NA.ObjName,3,UInt4,192
MNS.MNA12.NA.ObjName,101,String,"МНА №12"
MNS.MNA12.NA.State,1,UInt4,9
MNS.MNA12.NA.State,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34006) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TM2) Signed=(True) Category=()}"
MNS.MNA12.NA.State,101,String,"Состояние НА"
MNS.MNA12.NA.Mode.Imit,1,UInt4,5
MNS.MNA12.NA.Mode.Imit,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(34007) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TS) BitPosition=(11) Category=()}"
MNS.MNA12.NA.Mode.Imit,101,String,"Режим Имитация"
MNS.MNA12.NA.Mode.Nenom,1,UInt4,5
