;
; HistoricalTag
;
Item Reference,Scan Rate,Deadband,Enabled
"Channel.MNS.MNS.PT001_1.RawValue",1000,0.001,1,
"Channel.MNS.MNS.PT003_1.RawValue",1000,0.001,1,
"Channel.MNS.MNS.PT001_2.RawValue",1000,0.001,1,
"Channel.MNS.MNS.PT003_2.RawValue",1000,0.001,1,
"Channel.MNS.MNS.PT004.RawValue",1000,0.001,1,
"Channel.MNS.MNS.LT0014.RawValue",1000,0.001,1,
"Channel.MNS.Msl.LT6034.RawValue",1000,0.001,1,
"Channel.MNS.Msl.LT6014.RawValue",1000,0.001,1,
"Channel.MNS.Msl.LT6024.RawValue",1000,0.001,1,
"Channel.MNS.SOU.LC6534.RawValue",1000,0.001,1,
"Channel.MNS.SOU.LC6544.RawValue",1000,0.001,1,
"Channel.MNS.Msl.LT6041.RawValue",1000,0.001,1,
"Channel.MNS.Vent.CCT621.RawValue",1000,0.001,1,
"Channel.MNS.Vent.CCT622.RawValue",1000,0.001,1,
"Channel.MNS.Vent.CCT623.RawValue",1000,0.001,1,
"Channel.MNS.Vent.CCT624.RawValue",1000,0.001,1,
"Channel.MNS.Msl.Vent.CCT606.RawValue",1000,0.001,1,
"Channel.MNS.Msl.Vent.CCT607.RawValue",1000,0.001,1,
"Channel.MNS.Msl.TT601.RawValue",1000,0.001,1,
"Channel.MNS.Msl.LT601.RawValue",1000,0.001,1,
"Channel.MNS.Msl.TT602.RawValue",1000,0.001,1,
"Channel.MNS.Msl.LT602.RawValue",1000,0.001,1,
"Channel.MNS.Msl.TT603.RawValue",1000,0.001,1,
"Channel.MNS.Msl.PDT601.RawValue",1000,0.001,1,
"Channel.MNS.Msl.N1.PT601.RawValue",1000,0.001,1,
"Channel.MNS.Msl.N2.PT602.RawValue",1000,0.001,1,
"Channel.MNS.Msl.Vent.TT606.RawValue",1000,0.001,1,
"Channel.MNS.SOU.LT651.RawValue",1000,0.001,1,
"Channel.MNS.SOU.LT652.RawValue",1000,0.001,1,
"Channel.MNS.SOU.N1.PT651.RawValue",1000,0.001,1,
"Channel.MNS.SOU.N2.PT652.RawValue",1000,0.001,1,
"Channel.MNS.Vent.TT600.RawValue",1000,0.001,1,
"Channel.MNS.Vent.TT621.RawValue",1000,0.001,1,
"Channel.MNS.Vent.TT605.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.PTx01.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.PTx02.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.PTx03.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.TTx01.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.TTx02.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.TTx03.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.TTx04.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.TTx05.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.TTx14.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.TTx15.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.TTx16.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.TTx17.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.TTx18.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.TTx19.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.XTx01.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.XTx02.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.XTx03.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.XTx04.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.XTx05.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.XTx06.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.XTx07.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.XTx08.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.XTx09.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.XTx10.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.XTx11.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.CTx01.RawValue",1000,0.001,1,
"Channel.MNS.MNA21.STx01s.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.PTx01.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.PTx02.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.PTx03.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.TTx01.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.TTx02.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.TTx03.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.TTx04.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.TTx05.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.TTx14.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.TTx15.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.TTx16.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.TTx17.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.TTx18.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.TTx19.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.XTx01.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.XTx02.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.XTx03.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.XTx04.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.XTx05.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.XTx06.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.XTx07.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.XTx08.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.XTx09.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.XTx10.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.XTx11.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.CTx01.RawValue",1000,0.001,1,
"Channel.MNS.MNA22.STx01s.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.PTx01.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.PTx02.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.PTx03.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.TTx01.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.TTx02.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.TTx03.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.TTx04.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.TTx05.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.TTx14.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.TTx15.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.TTx16.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.TTx17.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.TTx18.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.TTx19.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.XTx01.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.XTx02.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.XTx03.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.XTx04.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.XTx05.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.XTx06.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.XTx07.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.XTx08.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.XTx09.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.XTx10.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.XTx11.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.CTx01.RawValue",1000,0.001,1,
"Channel.MNS.MNA23.STx01s.RawValue",1000,0.001,1,
"Channel.MNS.MNA24.PTx01.RawValue",1000,0.001,1,
"Channel.MNS.MNA24.PTx02.RawValue",1000,0.001,1,
"Channel.MNS.MNA24.PTx03.RawValue",1000,0.001,1,
"Channel.MNS.MNA24.TTx01.RawValue",1000,0.001,1,
"Channel.MNS.MNA24.TTx02.RawValue",1000,0.001,1,
"Channel.MNS.MNA24.TTx03.RawValue",1000,0.001,1,
"Channel.MNS.MNA24.TTx04.RawValue",1000,0.001,1,
"Channel.MNS.MNA24.TTx05.RawValue",1000,0.001,1,
"Channel.MNS.MNA24.TTx14.RawValue",1000,0.001,1,
"Channel.MNS.MNA24.TTx15.RawValue",1000,0.001,1,
"Channel.MNS.MNA24.TTx16.RawValue",1000,0.001,1,
"Channel.MNS.MNA24.TTx17.RawValue",1000,0.001,1,
"Channel.MNS.MNA24.TTx18.RawValue",1000,0.001,1,
"Channel.MNS.MNA24.TTx19.RawValue",1000,0.001,1,
"Channel.MNS.MNA24.XTx01.RawValue",1000,0.001,1,
"Channel.MNS.MNA24.XTx02.RawValue",1000,0.001,1,
"Channel.MNS.MNA24.XTx03.RawValue",1000,0.001,1,
"Channel.MNS.MNA24.XTx04.RawValue",1000,0.001,1,
