Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
Version.OS,"437114",Word,1,R/W,300,,,,,,,,,,Версия ОС,
Version.UNITY,"437115",Word,1,R/W,300,,,,,,,,,,Версия Unity,
Version.LIB,"437116",Word,1,R/W,300,,,,,,,,,,Версия библиотеки,
Version.MAJOR,"437151",Word,1,R/W,300,,,,,,,,,,Мажорный номер версии,
Version.MINOR,"437152",Word,1,R/W,300,,,,,,,,,,Минорный номер версии,
Version.BUILD,"437153",Word,1,R/W,300,,,,,,,,,,Номер билда,
Version.SIGNATURE,"437154",DWord,1,R/W,300,,,,,,,,,,Подпись проекта,
Version.SECOND,"437156",Word,1,R/W,300,,,,,,,,,,Время билда (секунды),
Version.MINUTE,"437157",Word,1,R/W,300,,,,,,,,,,Время билда (минуты),
Version.HOUR,"437158",Word,1,R/W,300,,,,,,,,,,Время билда (часы),
Version.DAY,"437159",Word,1,R/W,300,,,,,,,,,,Время билда (день),
Version.MONTH,"437160",Word,1,R/W,300,,,,,,,,,,Время билда (месяц),
Version.YEAR,"437161",Word,1,R/W,300,,,,,,,,,,Время билда (год),
DG.Connect.PLC.Stop,"437156",Word,1,RO,300,,,,,,,,,,Счётчик контроллера,
BIK.ObjName,"401350",Word,1,RO,99999990,,,,,,,,,,БИК на выходе МНС,
BIK.Channels,"401350",Word,1,RO,99999990,,,,,,,,,,"DG.KC.A6.M4:0",
BIK.Tair.Min,"401350.0",Boolean,1,RO,300,,,,,,,,,,Температура воздуха в БИК минимальная,
BIK.Open,"401350.1",Boolean,1,RO,300,,,,,,,,,,Дверь в БИК открыта,
BIK.Gas.H,"401350.2",Boolean,1,RO,300,,,,,,,,,,Предельная загазованность в БИК,
BIK.Sink.Invalid,"401350.3",Boolean,1,RO,300,,,,,,,,,,Неисправность цепи сигнализаторов затопления БИК,
BIK.Sink.H,"401350.4",Boolean,1,RO,300,,,,,,,,,,Предельный максимальный уровень затопления БИК,
BIK.Fire,"401350.5",Boolean,1,RO,300,,,,,,,,,,Пожар,
BIK.KTPR.F.F1,"401350.6",Boolean,1,RO,300,,,,,,,,,,Сигнализация «Пожар»,
BIK.KTPR.P.P1,"401350.7",Boolean,1,RO,300,,,,,,,,,,Срабатывание защиты «Пожар»,
BIK.KTPR.M.Mask1,"401350.8",Boolean,1,RO,300,,,,,,,,,,Маскирование защиты «Пожар»,
BIK.KTPR.F.F2,"401350.9",Boolean,1,RO,300,,,,,,,,,,Сигнализация «Авария, требующая защитного отключения оборудования БИК»,
BIK.KTPR.P.P2,"401350.10",Boolean,1,RO,300,,,,,,,,,,Срабатывание защиты «Авария, требующая защитного отключения оборудования БИК»,
BIK.KTPR.M.Mask2,"401350.11",Boolean,1,RO,300,,,,,,,,,,Маскирование защиты «Авария, требующая защитного отключения оборудования БИК»,
BIK.Report2h.DateTime.Begin,"401352",Dword,1,RO,300,,,,,,,,,,Дата и время начала отчета,
BIK.Report2h.DateTime.End,"401354",Dword,1,RO,300,,,,,,,,,,Дата и время формирования отчета,
BIK.Report2h.Pipe.ViscosityK,"401356",Float,1,RO,300,,,,,,,,,"сСт",Кинематическая вязкость АБ в трубе,
BIK.Report2h.Pipe.Density,"401358",Float,1,RO,300,,,,,,,,,"кг/м3",Плотность АБ в МНПП,
BIK.Report2h.Pipe.T,"401360",Float,1,RO,300,,,,,,,,,"°C",Температура АБ в МНПП,
BIK.Report2h.Pipe.P,"401362",Float,1,RO,300,,,,,,,,,"МПа",Давление АБ в МНПП,
BIK.Report2h.ViscosityK,"401364",Float,1,RO,300,,,,,,,,,"сСт",Кинематическая вязкость АБ в БИК,
BIK.Report2h.ViscosityD,"401366",Float,1,RO,300,,,,,,,,,"сП",Динамическая вязкость АБ в БИК,
BIK.Report2h.Density,"401368",Float,1,RO,300,,,,,,,,,"кг/м3",Плотность АБ в БИК,
BIK.Report2h.Density.T15,"401370",Float,1,RO,300,,,,,,,,,"кг/м3",Плотность при 15 °С,
BIK.Report2h.Density.T20,"401372",Float,1,RO,300,,,,,,,,,"кг/м3",Плотность при 20 °С,
BIK.Report2h.T,"401374",Float,1,RO,300,,,,,,,,,"°C",Температура АБ в БИК,
BIK.Report2h.P,"401376",Float,1,RO,300,,,,,,,,,"МПа",Давление АБ в БИК,
BIK.Report2h.Water.V,"401378",Float,1,RO,300,,,,,,,,,"%",Объемная доля воды в АБ ,
BIK.Report2h.Water.M,"401380",Float,1,RO,300,,,,,,,,,"%",Массовая доля воды в АБ ,
BIK.ReportDay.DateTime.Begin,"401382",Dword,1,RO,300,,,,,,,,,,Дата и время начала отчета,
BIK.ReportDay.DateTime.End,"401384",Dword,1,RO,300,,,,,,,,,,Дата и время формирования отчета,
BIK.ReportDay.Pipe.ViscosityK,"401386",Float,1,RO,300,,,,,,,,,"сСт",Кинематическая вязкость АБ в МНПП,
BIK.ReportDay.Pipe.Density,"401388",Float,1,RO,300,,,,,,,,,"кг/м3",Плотность АБ в МНПП,
BIK.ReportDay.Pipe.T,"401390",Float,1,RO,300,,,,,,,,,"°C",Температура АБ в МНПП,
