Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
.CMD.Ack,"400121",Word,1,RW,99999990,,,,,,,,,,Сигнал для квитирования экрана,
.CMD.Ack1,"400121",Word,1,RW,99999990,,,,,,,,,,Сигнал для квитирования экрана,
.CMD.Ack2,"400122",Word,1,RW,99999990,,,,,,,,,,Сигнал для квитирования экрана,
.CMD.Ack3,"400123",Word,1,RW,99999990,,,,,,,,,,Сигнал для квитирования экрана,
.CMD.Ack4,"400124",Word,1,RW,99999990,,,,,,,,,,Сигнал для квитирования экрана,
.Version.OS,"437113",Word,1,RO,5000,,,,,,,,,,Версия ОС,
.Version.UNITY,"437114",Word,1,RO,5000,,,,,,,,,,Версия Unity,
.Version.LIB,"437115",Word,1,RO,5000,,,,,,,,,,Версия библиотеки,
.Version.MAJOR,"437150",Word,1,RO,5000,,,,,,,,,,Мажорный номер версии,
.Version.MINOR,"437151",Word,1,RO,5000,,,,,,,,,,Минорный номер версии,
.Version.BUILD,"437152",Word,1,RO,5000,,,,,,,,,,Номер билда,
.Version.SIGNATURE,"437153",DWord,1,RO,5000,,,,,,,,,,Подпись проекта,
.Version.SECOND,"437155",Word,1,RO,5000,,,,,,,,,,Время билда (секунды),
.Version.MINUTE,"437156",Word,1,RO,5000,,,,,,,,,,Время билда (минуты),
.Version.HOUR,"437157",Word,1,RO,5000,,,,,,,,,,Время билда (часы),
.Version.DAY,"437158",Word,1,RO,5000,,,,,,,,,,Время билда (день),
.Version.MONTH,"437159",Word,1,RO,5000,,,,,,,,,,Время билда (месяц),
.Version.YEAR,"437160",Word,1,RO,5000,,,,,,,,,,Время билда (год),
.DG.Connect.PLC.Stop,"401763",Word,1,RO,300,,,,,,,,,,Счётчик контроллера САР,
.DG.Switch.A10.IP,"400001",Word,1,RO,99999990,,,,,,,,,,192.168.009.126,
.DG.Switch.A10.Mask,"400001",Word,1,RO,99999990,,,,,,,,,,255.255.255.128,
.DG.Switch.A10.PortDesc.0,"400001",Word,1,RO,99999990,,,,,,,,,,МНС.САР A1.04,
.DG.Switch.A10.PortDesc.1,"400001",Word,1,RO,99999990,,,,,,,,,,МНС.САР A3.03,
.DG.Switch.A10.PortDesc.2,"400001",Word,1,RO,99999990,,,,,,,,,,МНС.САР A2.04,
.DG.Switch.A10.PortDesc.3,"400001",Word,1,RO,99999990,,,,,,,,,,МНС.САР A4.03,
.DG.Switch.A10.PortDesc.4,"400001",Word,1,RO,99999990,,,,,,,,,,МНС.САР A5.02,
.DG.Switch.A10.PortDesc.5,"400001",Word,1,RO,99999990,,,,,,,,,,МНС.САР A6.02,
.DG.Switch.A10.PortDesc.6,"400001",Word,1,RO,99999990,,,,,,,,,,МНС.САР A7.02,
.DG.Switch.A10.PortDesc.7,"400001",Word,1,RO,99999990,,,,,,,,,,резерв,
.DG.Switch.A10.PortDesc.G1,"400001",Word,1,RO,99999990,,,,,,,,,,резерв,
.DG.Switch.A10.PortDesc.G2,"400001",Word,1,RO,99999990,,,,,,,,,,резерв,
.DG.Switch.A11.IP,"400001",Word,1,RO,99999990,,,,,,,,,,192.168.009.254,
.DG.Switch.A11.Mask,"400001",Word,1,RO,99999990,,,,,,,,,,255.255.255.128,
.DG.Switch.A11.PortDesc.0,"400001",Word,1,RO,99999990,,,,,,,,,,МНС.САР A1.05,
.DG.Switch.A11.PortDesc.1,"400001",Word,1,RO,99999990,,,,,,,,,,МНС.САР A3.04,
.DG.Switch.A11.PortDesc.2,"400001",Word,1,RO,99999990,,,,,,,,,,МНС.САР A2.05,
.DG.Switch.A11.PortDesc.3,"400001",Word,1,RO,99999990,,,,,,,,,,МНС.САР A4.04,
.DG.Switch.A11.PortDesc.4,"400001",Word,1,RO,99999990,,,,,,,,,,МНС.САР A5.13,
.DG.Switch.A11.PortDesc.5,"400001",Word,1,RO,99999990,,,,,,,,,,МНС.САР A6.09,
.DG.Switch.A11.PortDesc.6,"400001",Word,1,RO,99999990,,,,,,,,,,МНС.САР A7.09,
.DG.Switch.A11.PortDesc.7,"400001",Word,1,RO,99999990,,,,,,,,,,резерв,
.DG.Switch.A11.PortDesc.G1,"400001",Word,1,RO,99999990,,,,,,,,,,резерв,
.DG.Switch.A11.PortDesc.G2,"400001",Word,1,RO,99999990,,,,,,,,,,резерв,
.PT001.EUnits,"404023",Word,1,RO,99999990,,,,,,,,,,"МПа",
.PT001.Imit,"404023.7",Boolean,1,R/W,300,,,,,,,,,,"Режим Имитация",
.PT001.ObjName,"404023",Word,1,RO,99999990,,,,,,,,,,"Давление нефтепродукта на приеме МНС",
.PT001.ObjNum,"404023",Word,1,RO,99999990,,,,,,,,,,"1",
.PT001.State,"404023",Word,1,RO,300,,,,,,,,,,"PT001",
