Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"BIK.Channels","401351",Word,1,RO,99999990,,,,,,,,,,"DG.KC.A6.M4:0",
"BIK.Density","401453",Float,1,RO,300,,,,,,,,,,"Плотность АБ в БИК",
"BIK.dP","401485",Float,1,RO,1500,,,,,,,,,,"Перепад давления на Ф1",
"BIK.Flow","401459",Float,1,RO,300,,,,,,,,,,"Расход АБ в трубопроводе БИК",
"BIK.Link","401501.15",Boolean,1,RO,300,,,,,,,,,,"Наличие связи",
"BIK.ObjName","401350",Word,1,RO,99999990,,,,,,,,,,"БИК на выходе МНС",
"BIK.Open","401352.1",Boolean,1,RO,300,,,,,,,,,,"Дверь в БИК открыта",
"BIK.P","401457",Float,1,RO,300,,,,,,,,,,"Давление АБ в БИК",
"BIK.T","401455",Float,1,RO,300,,,,,,,,,,"Температура АБ в БИК",
"BIK.Tair","401483",Float,1,RO,1500,,,,,,,,,,"Температура воздуха в БИК",
"BIK.Tuso","401489",Float,1,RO,1500,,,,,,,,,,"Температура в ШСА",
"BIK.ViscosityD","401469",Float,1,RO,300,,,,,,,,,,"Динамическая вязкость АБ в БИК",
"BIK.ViscosityK","401451",Float,1,RO,300,,,,,,,,,,"Кинематическая вязкость АБ в БИК",
"BIK.Density.Alm","401480.10",Boolean,1,RO,300,,,,,,,,,,"Плотность АБ в БИК - аварийное значение",
"BIK.Density.Imit","401480.15",Boolean,1,RO,300,,,,,,,,,,"Плотность АБ в БИК - режим имитации",
"BIK.Density.Invalid","401480.14",Boolean,1,RO,300,,,,,,,,,,"Плотность АБ в БИК - значение недостоверно",
"BIK.Density.Norm","401480.8",Boolean,1,RO,300,,,,,,,,,,"Плотность АБ в БИК - значение в норме",
"BIK.Density.Warn","401480.9",Boolean,1,RO,300,,,,,,,,,,"Плотность АБ в БИК - предельное значение",
"BIK.dP.Alm","401494.10",Boolean,1,RO,300,,,,,,,,,,"Перепад давления на Ф1 - аварийное значение",
"BIK.dP.Imit","401494.15",Boolean,1,RO,300,,,,,,,,,,"Перепад давления на Ф1 - режим имитации",
"BIK.dP.Invalid","401494.14",Boolean,1,RO,300,,,,,,,,,,"Перепад давления на Ф1 - значение недостоверно",
"BIK.dP.Norm","401494.8",Boolean,1,RO,300,,,,,,,,,,"Перепад давления на Ф1 - значение в норме",
"BIK.dP.Warn","401494.9",Boolean,1,RO,300,,,,,,,,,,"Перепад давления на Ф1 - предельное значение",
"BIK.Fan.Fault","401507.8",Boolean,1,RO,300,,,,,,,,,,"Вентилятор - неисправен",
"BIK.Fan.Mode","401506",Word,1,RO,300,,,,,,,,,,"Вентилятор - режим",
