Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"Key","401000",Long,1,R/W,1000,,,,,,,,,,"HASP",
"SQL","402000",Long,1,R/W,1000,,,,,,,,,,"DB",
"Process.1.Avar","401257",Long,1,R/W,1000,,,,,,,,,,"јвари€",
"Process.1.Cpu","401253",Short,1,R/W,1000,,,,,,,,,,"загрузка цпу по процессу",
"Process.1.InstanceCount","401245",Short,1,R/W,1000,,,,,,,,,,"количество запущенных экземпл€ров",
"Process.1.Name","420037.4H",String,1,R/W,1000,,,,,,,,,,"FixBackgroundServer",
"Process.1.Ram","401249",Long,1,R/W,1000,,,,,,,,,,"количество использованной процессом пам€ти",
"Process.1.StartTime","420001.20H",String,1,R/W,1000,,,,,,,,,,"врем€ запуска первого экземпл€ра",
"Process.10.Avar","401401",Long,1,R/W,1000,,,,,,,,,,"јвари€",
"Process.10.Cpu","401397",Short,1,R/W,1000,,,,,,,,,,"загрузка цпу по процессу",
"Process.10.InstanceCount","401389",Short,1,R/W,1000,,,,,,,,,,"количество запущенных экземпл€ров",
"Process.10.Name","420685.8H",String,1,R/W,1000,,,,,,,,,,"sqlservr",
"Process.10.Ram","401393",Long,1,R/W,1000,,,,,,,,,,"количество использованной процессом пам€ти",
"Process.10.StartTime","420649.20H",String,1,R/W,1000,,,,,,,,,,"врем€ запуска первого экземпл€ра",
"Process.11.Avar","401417",Long,1,R/W,1000,,,,,,,,,,"јвари€",
"Process.11.Cpu","401413",Short,1,R/W,1000,,,,,,,,,,"загрузка цпу по процессу",
"Process.11.InstanceCount","401405",Short,1,R/W,1000,,,,,,,,,,"количество запущенных экземпл€ров",
"Process.11.Name","420757.12H",String,1,R/W,1000,,,,,,,,,,"processdiag",
"Process.11.Ram","401409",Long,1,R/W,1000,,,,,,,,,,"количество использованной процессом пам€ти",
"Process.11.StartTime","420721.20H",String,1,R/W,1000,,,,,,,,,,"врем€ запуска первого экземпл€ра",
"Process.2.Avar","401273",Long,1,R/W,1000,,,,,,,,,,"јвари€",
"Process.2.Cpu","401269",Short,1,R/W,1000,,,,,,,,,,"загрузка цпу по процессу",
"Process.2.InstanceCount","401261",Short,1,R/W,1000,,,,,,,,,,"количество запущенных экземпл€ров",
"Process.2.Name","420109.10H",String,1,R/W,1000,,,,,,,,,,"workspace",
"Process.2.Ram","401265",Long,1,R/W,1000,,,,,,,,,,"количество использованной процессом пам€ти",
"Process.2.StartTime","420073.20H",String,1,R/W,1000,,,,,,,,,,"врем€ запуска первого экземпл€ра",
"Process.3.Avar","401289",Long,1,R/W,1000,,,,,,,,,,"јвари€",
"Process.3.Cpu","401285",Short,1,R/W,1000,,,,,,,,,,"загрузка цпу по процессу",
"Process.3.InstanceCount","401277",Short,1,R/W,1000,,,,,,,,,,"количество запущенных экземпл€ров",
"Process.3.Name","420181.10H",String,1,R/W,1000,,,,,,,,,,"datalogger",
