ID;ParamName;ParamID;Unit;ScaleBeginning;Ust0;Ust1;Ust2;Ust3;Ust4;Ust5;Ust6;Ust7;Ust8;Ust9;Ust10;Ust11;ScaleEnd;Hist;VeracityBottom;VeracityTop;AdressBeginning;Place;CtrlUst;OpMask;SignMask;KF;NDiap;AdressBeginningKF;PLC;OPCPath;PlaceName;TypeName
1;"ТЕМПЕРАТУРА ВОЗДУХА В ШКАФУ ССН.КЦ";"CST01_01";"°C";"-20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"80";"0";"3,7";"20,3";13300;1;"1";"1";"1";"0";"1";11064;0;"DG.KC.CST01_01";"ССН.КЦ";"Базовый тип с наименованием по умолчанию"
2;"ИЗМЕРЕНИЕ УРОВНЯ В ЕМКОСТИ 024.1";"LT651";"мм";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2100";"0";"3,7";"20,3";13332;2;"1";"1";"1";"0";"1";11068;0;"SOU.LT651";"СОУ";"Базовый тип с наименованием по умолчанию"
3;"ИЗМЕРЕНИЕ УРОВНЯ В ЕМКОСТИ 024.2";"LT652";"мм";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2100";"0";"3,7";"20,3";13364;2;"1";"1";"1";"0";"1";11072;0;"SOU.LT652";"СОУ";"Базовый тип с наименованием по умолчанию"
4;"ПЕРЕПАД ДАВЛЕНИЯ НА УЗЛЕ РЕГУЛИРОВАНИЯ №008.1";"PDT671";"МПа";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,4";"0";"3,7";"20,3";13396;3;"1";"1";"1";"0";"1";11076;0;"SAR1.PDT671";"САР 1";"Перепад давления"
5;"ПЕРЕПАД ДАВЛЕНИЯ НА УЗЛЕ РЕГУЛИРОВАНИЯ №008.2";"PDT672";"МПа";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,4";"0";"3,7";"20,3";13428;4;"1";"1";"1";"0";"1";11080;0;"SAR2.PDT672";"САР 2";"Перепад давления"
6;"ПЕРЕПАД ДАВЛЕНИЯ НА РЕГУЛЯТОРЕ ДАВЛЕНИЯ №036.5";"PDT673";"МПа";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,4";"0";"3,7";"20,3";13460;5;"1";"1";"1";"0";"1";11084;0;"SARD.PDT673";"САРД";"Перепад давления"
7;"ДАВЛЕНИЕ НЕФТИ НА ВХОДЕ ССН";"PT591";"МПа";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"3,7";"20,3";13492;1;"1";"1";"1";"0";"1";11088;0;"SSN.PT591";"ССН";"Давление на входе МНС"
8;"ДАВЛЕНИЕ НЕФТИ НА ВЫХОДЕ ССН";"PT592";"МПа";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"3,7";"20,3";13524;1;"1";"1";"1";"0";"1";11092;0;"SSN.PT592";"ССН";"Давление на выходе НПС"
9;"ДАВЛЕНИЕ НА ВЫХОДЕ НАСОСА ОТКАЧКИ УТЕЧЕК ИЗ ЕМКОСТИ 024.1";"PT651";"МПа";"0";"0";"0";"0";"0,29";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3,7";"20,3";13556;2;"1";"1";"1";"0";"1";11096;0;"SOU.PT651";"СОУ";"Параметры, отключающие агрегаты вспом. систем как контролируемые параметры конкретного агрегата"
10;"ДАВЛЕНИЕ НА ВЫХОДЕ НАСОСА ОТКАЧКИ УТЕЧЕК ИЗ ЕМКОСТИ 024.2";"PT652";"МПа";"0";"0";"0";"0";"0,29";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3,7";"20,3";13588;2;"1";"1";"1";"0";"1";11100;0;"SOU.PT652";"СОУ";"Параметры, отключающие агрегаты вспом. систем как контролируемые параметры конкретного агрегата"
