Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"SWITCH.A8.Dis0","401762.0",Boolean,1,RO,900,,,,,,,,,,"项痱 1 Disable",
"SWITCH.A8.Dis1","401762.1",Boolean,1,RO,900,,,,,,,,,,"项痱 2 Disable",
"SWITCH.A8.Dis2","401762.2",Boolean,1,RO,900,,,,,,,,,,"项痱 3 Disable",
"SWITCH.A8.Dis3","401762.3",Boolean,1,RO,900,,,,,,,,,,"项痱 4 Disable",
"SWITCH.A8.Dis4","401762.4",Boolean,1,RO,900,,,,,,,,,,"项痱 5 Disable",
"SWITCH.A8.Dis5","401762.5",Boolean,1,RO,900,,,,,,,,,,"项痱 6 Disable",
"SWITCH.A8.Dis6","401762.6",Boolean,1,RO,900,,,,,,,,,,"项痱 7 Disable",
"SWITCH.A8.Dis7","401762.7",Boolean,1,RO,900,,,,,,,,,,"项痱 8 Disable",
"SWITCH.A8.Dis8","401762.8",Boolean,1,RO,900,,,,,,,,,,"项痱 9 Disable",
"SWITCH.A8.Dis9","401762.9",Boolean,1,RO,900,,,,,,,,,,"项痱 10 Disable",
"SWITCH.A8.Dis10","401762.10",Boolean,1,RO,900,,,,,,,,,,"项痱 11 Disable",
"SWITCH.A8.Dis11","401762.11",Boolean,1,RO,900,,,,,,,,,,"项痱 12 Disable",
"SWITCH.A8.Dis12","401762.12",Boolean,1,RO,900,,,,,,,,,,"项痱 13 Disable",
"SWITCH.A8.Dis13","401762.13",Boolean,1,RO,900,,,,,,,,,,"项痱 14 Disable",
"SWITCH.A8.Dis14","401762.14",Boolean,1,RO,900,,,,,,,,,,"项痱 15 Disable",
"SWITCH.A8.Dis15","401762.15",Boolean,1,RO,900,,,,,,,,,,"项痱 16 Disable",
"SWITCH.A8.Dis16","401763.0",Boolean,1,RO,900,,,,,,,,,,"项痱 17 Disable",
"SWITCH.A8.Dis17","401763.1",Boolean,1,RO,900,,,,,,,,,,"项痱 18 Disable",
"SWITCH.A8.Dis18","401763.2",Boolean,1,RO,900,,,,,,,,,,"项痱 19 Disable",
"SWITCH.A8.Dis19","401763.3",Boolean,1,RO,900,,,,,,,,,,"项痱 20 Disable",
"SWITCH.A8.Dis20","401763.4",Boolean,1,RO,900,,,,,,,,,,"项痱 21 Disable",
"SWITCH.A8.Dis21","401763.5",Boolean,1,RO,900,,,,,,,,,,"项痱 22 Disable",
"SWITCH.A8.Dis22","401763.6",Boolean,1,RO,900,,,,,,,,,,"项痱 23 Disable",
"SWITCH.A8.Dis23","401763.7",Boolean,1,RO,900,,,,,,,,,,"项痱 24 Disable",
"SWITCH.A9.Dis0","401764.0",Boolean,1,RO,900,,,,,,,,,,"项痱 1 Disable",
"SWITCH.A9.Dis1","401764.1",Boolean,1,RO,900,,,,,,,,,,"项痱 2 Disable",
"SWITCH.A9.Dis2","401764.2",Boolean,1,RO,900,,,,,,,,,,"项痱 3 Disable",
"SWITCH.A9.Dis3","401764.3",Boolean,1,RO,900,,,,,,,,,,"项痱 4 Disable",
"SWITCH.A9.Dis4","401764.4",Boolean,1,RO,900,,,,,,,,,,"项痱 5 Disable",
"SWITCH.A9.Dis5","401764.5",Boolean,1,RO,900,,,,,,,,,,"项痱 6 Disable",
"SWITCH.A9.Dis6","401764.6",Boolean,1,RO,900,,,,,,,,,,"项痱 7 Disable",
"SWITCH.A9.Dis7","401764.7",Boolean,1,RO,900,,,,,,,,,,"项痱 8 Disable",
"SWITCH.A9.Dis8","401764.8",Boolean,1,RO,900,,,,,,,,,,"项痱 9 Disable",
"SWITCH.A9.Dis9","401764.9",Boolean,1,RO,900,,,,,,,,,,"项痱 10 Disable",
"SWITCH.A9.Dis10","401764.10",Boolean,1,RO,900,,,,,,,,,,"项痱 11 Disable",
"SWITCH.A9.Dis11","401764.11",Boolean,1,RO,900,,,,,,,,,,"项痱 12 Disable",
"SWITCH.A9.Dis12","401764.12",Boolean,1,RO,900,,,,,,,,,,"项痱 13 Disable",
"SWITCH.A9.Dis13","401764.13",Boolean,1,RO,900,,,,,,,,,,"项痱 14 Disable",
"SWITCH.A9.Dis14","401764.14",Boolean,1,RO,900,,,,,,,,,,"项痱 15 Disable",
"SWITCH.A9.Dis15","401764.15",Boolean,1,RO,900,,,,,,,,,,"项痱 16 Disable",
"SWITCH.A9.Dis16","401765.0",Boolean,1,RO,900,,,,,,,,,,"项痱 17 Disable",
"SWITCH.A9.Dis17","401765.1",Boolean,1,RO,900,,,,,,,,,,"项痱 18 Disable",
"SWITCH.A9.Dis18","401765.2",Boolean,1,RO,900,,,,,,,,,,"项痱 19 Disable",
"SWITCH.A9.Dis19","401765.3",Boolean,1,RO,900,,,,,,,,,,"项痱 20 Disable",
"SWITCH.A9.Dis20","401765.4",Boolean,1,RO,900,,,,,,,,,,"项痱 21 Disable",
"SWITCH.A9.Dis21","401765.5",Boolean,1,RO,900,,,,,,,,,,"项痱 22 Disable",
"SWITCH.A9.Dis22","401765.6",Boolean,1,RO,900,,,,,,,,,,"项痱 23 Disable",
"SWITCH.A9.Dis23","401765.7",Boolean,1,RO,900,,,,,,,,,,"项痱 24 Disable",
